spelling	%Bel	%Ned	Obs_Bel	Obs_Bel	
civetkat	49.7	61.7	251	319	
civiel	94.2	95.6	274	338	
civilisatie	95.7	91.1	222	284	
civilist	75.2	85.7	250	317	
civisme	61.8	42.2	229	317	
clafoutis	48.2	35.6	244	322	
claim	96.8	98.1	267	333	
claimen	94.3	98.7	257	330	
clairvoyant	56.5	52.4	266	294	
clan	96.6	90.7	246	304	
clandestien	95.8	89.3	226	305	
clanlid	86.1	71.6	257	319	
claque	38.8	40.9	246	287	
claqueur	28.2	29.0	252	332	
claris	46.1	32.1	242	344	
clarisse	67.7	51.2	235	334	
clashen	80.9	80.9	33	44	
classeur	84.9	44.9	251	344	
classic	87.0	92.0	251	342	
classica	67.0	73.9	239	298	
classicisme	93.2	89.6	248	314	
classicistisch	85.9	72.8	269	313	
classicus	92.3	90.9	273	335	
classificatie	98.4	98.6	261	294	
classificeren	95.1	98.3	236	303	
classis	25.0	38.7	247	335	
claus	34.6	46.7	240	308	
claustrofobie	99.2	99.7	268	323	
claustrofobisch	98.2	97.3	236	307	
clausule	95.7	96.7	246	317	
clausuur	39.5	41.6	261	294	
claves	31.7	31.6	239	277	
clavicula	58.9	39.6	220	352	
claviger	0.1	5.5	274	304	
claxon	94.0	98.6	264	309	
claxonnade	47.8	72.9	232	322	
claxonneren	94.8	94.2	263	325	
clean	92.6	91.1	257	331	
cleaner	86.0	92.3	256	327	
clearing	63.0	64.2	296	306	
clematis	60.6	77.4	259	321	
clement	64.2	84.0	253	289	
clementie	83.7	94.2	272	289	
clementine	91.9	91.1	235	354	
cleresie	19.3	12.3	240	323	
clericus	80.3	52.3	230	287	
clerus	85.3	51.1	272	310	
cliché	97.8	99.3	244	309	
clichématig	86.4	92.8	31	44	
clicheren	45.9	49.4	222	291	
clichés	98.3	97.7	251	315	
click	81.7	83.6	230	314	
cliënt	97.0	99.0	246	304	
cliënte	97.9	98.2	252	294	
cliënteel	97.5	84.2	248	327	
clientèle	73.7	90.3	244	315	
cliffhanger	90.1	92.3	32	41	
clignoteur	46.4	44.5	263	366	
climax	97.4	98.0	245	314	
clinch	92.2	91.0	244	329	
clinic	42.4	89.7	234	357	
clinicus	80.5	83.6	243	328	
clip	97.4	95.6	243	309	
clipper	58.8	72.0	240	335	
clips	95.4	97.2	274	304	
clique	59.4	58.8	254	322	
clitoris	96.7	97.0	255	313	
clivia	41.0	69.5	255	314	
cloaca	72.6	65.0	254	307	
clochard	93.6	79.6	230	336	
cloche	46.3	51.4	245	314	
close	79.4	88.0	240	317	
closet	68.6	92.3	265	327	
closetpot	54.2	86.5	253	312	
closetrol	15.8	66.8	30	38	
close-up	92.5	95.7	266	340	
clou	85.6	92.0	226	341	
clown	98.3	99.4	247	336	
clownerie	65.9	65.7	213	325	
clownesk	78.9	82.6	239	321	
clownsduo	92.3	95.6	232	309	
clownsneus	94.9	99.0	268	330	
clownspak	90.0	98.0	241	310	
club	99.1	99.3	237	314	
clubarts	81.5	87.4	267	333	
clubblad	95.4	98.0	254	314	
clubcard	77.1	93.6	244	329	
clubdag	91.8	96.5	230	297	
clubdas	74.4	88.0	226	246	
clubgeest	94.0	88.7	263	325	
clubgenote	91.5	94.5	37	38	
clubhit	88.2	88.5	240	329	
clubhuis	98.4	99.3	264	306	
clubkaart	98.8	99.4	262	324	
clubkas	95.2	95.4	284	299	
clubkleur	91.1	92.1	247	292	
clubleven	96.0	96.7	237	347	
clublid	97.0	98.0	246	314	
clublied	95.8	96.1	275	294	
clubman	80.1	84.4	227	318	
clubpas	89.3	98.4	255	337	
clubrit	59.7	68.5	235	271	
cluster	96.3	98.0	258	320	
clusteren	94.6	96.6	234	277	
cm	86.2	78.3	252	306	
co?xistentie	62.6	47.4	31	36	
coach	97.8	99.1	244	352	
coachen	97.8	98.9	239	277	
coaches	95.6	94.8	240	341	
coaching	96.0	98.9	262	288	
coadjutor	14.6	8.6	249	319	
coalitie	98.4	95.4	263	345	
coalitiepartijen	100.0	96.7	18	32	
coassistent	87.7	89.3	249	306	
coaster	71.5	79.8	244	329	
coat	72.5	75.8	230	330	
coaten	68.9	80.3	274	304	
coating	91.0	95.4	256	344	
coauteur	68.3	60.4	239	298	
coax	70.7	72.4	259	320	
coaxiaal	73.2	59.9	240	341	
coaxkabel	70.4	81.0	242	310	
cobra	97.7	99.3	229	290	
coca	76.4	82.5	263	343	
cocaïne	98.7	99.7	242	314	
coccus	21.3	14.3	258	333	
cockney	53.9	57.0	249	316	
cockpit	96.3	98.9	253	293	
cocktail	97.8	98.1	288	326	
cocon	89.6	95.5	274	303	
cocoonen	88.2	64.4	259	299	
cocooning	89.1	71.1	232	302	
cocotte	50.1	42.8	249	324	
coda	61.0	50.1	254	293	
code	99.2	99.3	270	303	
codec	56.1	46.7	254	298	
codecisie	29.8	21.4	222	288	
codeerder	90.5	88.8	256	302	
codeïne	91.4	89.2	256	341	
codenaam	99.2	99.0	249	303	
coderen	97.9	98.6	249	308	
codering	98.8	98.7	255	326	
codetaal	99.1	100.0	238	344	
codeur	69.7	67.3	233	335	
codex	96.7	87.3	252	332	
codicil	50.7	90.5	237	289	
codicologie	40.6	16.9	39	38	
codificeren	77.2	80.2	263	330	
codille	26.9	32.8	239	329	
coëfficiënt	97.3	93.2	269	311	
coelacanth	13.3	20.3	34	33	
coeliakie	34.1	55.3	281	318	
coffeeshop	93.4	97.4	241	321	
coffeïne	20.2	69.9	277	336	
cofferdam	5.4	6.9	246	304	
cognac	97.1	98.6	251	300	
cognacje	86.1	91.0	265	316	
cognitie	85.3	87.0	251	315	
cognitief	93.0	97.8	257	334	
cognossement	37.6	32.3	27	42	
cohabitatie	90.8	71.4	239	302	
coherent	93.5	88.5	242	321	
coherentie	90.8	90.1	264	373	
cohesie	93.7	95.1	252	300	
cohort	59.8	75.4	220	308	
cohorte	64.8	63.4	233	316	
coifferen	76.0	71.6	241	319	
coiffeur	87.4	85.1	218	338	
coiffeuse	88.6	86.4	258	332	
coiffure	91.2	86.6	286	315	
coïncidentie	87.0	84.1	227	318	
cointreau	89.6	79.2	254	314	
coïtaal	68.8	54.0	256	318	
coïteren	72.7	69.3	266	309	
coïtus	90.8	86.8	274	303	
coke	95.6	96.8	264	295	
cokes	77.2	75.2	240	322	
col	73.7	75.7	220	329	
cola	97.4	100.0	245	324	
colafles	94.4	97.5	226	297	
colbert	90.9	98.4	242	328	
colbertje	87.9	98.3	269	308	
colère	84.7	36.8	268	328	
collaborateur	97.5	95.7	208	318	
collaboratie	98.1	94.7	270	318	
collaboreren	96.3	92.3	227	314	
collage	98.7	97.6	249	347	
collageen	91.3	90.8	265	343	
collant	72.8	39.2	263	327	
collaps	53.2	67.6	254	312	
collateraal	91.4	81.7	257	316	
collatie	50.4	41.6	246	317	
collectant	84.3	99.4	241	330	
collecte	95.4	97.3	250	317	
collectebus	92.4	99.1	263	339	
collecteren	95.3	99.0	222	315	
collecteur	88.5	87.9	266	305	
collectie	99.2	99.1	255	334	
collectief	98.7	99.0	235	320	
collectioneren	91.2	65.6	227	337	
collectioneur	70.0	54.9	235	320	
collectivistisch	85.9	79.8	284	281	
collectiviteit	99.1	98.2	240	290	
collector	97.2	93.3	263	312	
collega	100.0	99.7	256	331	
college	98.8	99.7	264	303	
collegegeld	94.2	99.3	274	304	
collegiaal	95.8	97.9	250	343	
collegialiteit	94.1	97.5	250	300	
collegium	70.6	68.7	247	326	
colli	81.4	70.6	243	347	
collie	76.4	85.4	232	340	
collier	91.7	90.2	255	313	
collisie	59.0	49.3	267	326	
collo	22.0	26.6	251	344	
collocatie	92.2	36.1	269	308	
collodion	26.4	17.1	236	296	
collodium	58.8	57.1	235	331	
colloïdaal	74.5	50.0	33	40	
colloïde	66.0	57.8	220	352	
colloquium	77.8	65.6	275	300	
collusie	66.7	41.6	234	301	
colofon	78.1	92.9	231	326	
colonnade	54.7	48.3	244	328	
colonne	88.0	89.1	237	320	
coloratuur	48.8	46.7	222	324	
coloriet	68.8	51.8	253	312	
colorist	79.8	69.3	261	302	
colostrum	66.8	51.6	247	313	
colportage	42.9	78.9	236	289	
colporteren	45.7	77.9	252	329	
colporteur	50.3	82.1	252	300	
colt	53.0	58.3	235	318	
coltan	25.2	9.3	266	311	
coltrui	80.6	94.7	250	339	
column	90.5	95.2	276	285	
columnist	96.6	99.3	248	314	
coma	97.4	98.9	247	292	
comateus	91.6	86.9	252	314	
comazuipen	95.5	98.5	260	275	
combattant	62.8	58.4	235	354	
combattief	57.3	35.8	37	41	
combi	97.8	98.1	237	282	
combinatie	99.6	99.7	245	302	
combinatorisch	64.5	39.5	252	329	
combine	79.3	80.5	239	313	
combineren	98.4	98.8	268	347	
combioven	62.1	63.9	236	327	
combo	91.2	94.7	262	319	
comeback	93.3	95.1	235	320	
comedy	88.3	91.4	252	294	
comestibles	26.3	39.5	20	40	
comfort	97.4	98.7	283	336	
comfortabel	99.2	98.9	250	298	
comité	95.6	93.8	237	307	
comitélid	93.6	90.7	247	306	
commandant	98.7	97.2	243	337	
commanderen	98.0	99.0	262	320	
commandeur	88.9	97.0	265	316	
commando	97.5	100.0	250	272	
commandopost	98.8	98.1	261	274	
commemorabel	47.6	34.6	241	293	
commensaal	27.2	47.9	230	287	
commentaar	98.3	99.0	250	314	
commentator	97.9	99.4	245	333	
commerce	87.8	77.3	241	297	
commercial	80.6	92.6	239	329	
commercialiseren	98.0	94.9	263	312	
commercie	81.1	97.8	267	334	
commercieel	99.2	99.1	260	366	
commies	30.4	41.1	227	318	
commissariaat	95.4	95.5	275	325	
commissaris	97.4	98.5	245	286	
commissie	96.6	99.7	251	319	
commissionair	86.5	90.4	226	319	
committeren	60.8	92.4	247	333	
commode	93.0	97.6	240	306	
commodity	36.1	43.2	224	332	
commodore	77.8	82.3	237	285	
commotie	96.6	98.5	246	342	
communaal	80.9	55.1	243	347	
communautair	92.3	35.2	246	341	
commune	89.6	91.9	263	366	
communicant	97.9	81.2	249	319	
communicatie	100.0	99.7	249	350	
communicatief	96.5	99.4	213	325	
communicatiemiddel	97.9	99.1	245	353	
communiceren	99.6	98.7	255	326	
communie	98.7	98.8	252	359	
communiqué	88.1	74.3	238	315	
communisme	98.0	98.2	266	288	
communist	98.5	100.0	276	325	
communistisch	99.1	97.6	241	310	
community	84.5	90.0	251	317	
commutatief	76.6	50.9	243	347	
comorbiditeit	44.3	38.4	240	323	
compact	97.5	99.7	252	380	
compagnie	96.3	97.6	229	304	
compagnon	94.8	98.3	222	310	
comparant	53.7	58.5	241	330	
comparatief	89.5	73.3	240	331	
compartiment	98.7	99.0	252	306	
compassie	95.7	97.3	272	310	
compatibel	94.5	82.8	250	331	
compatibiliteit	95.9	97.5	230	291	
compendium	74.4	64.7	255	313	
compensatie	99.2	99.0	254	317	
compensatoir	49.7	58.6	247	346	
compenseren	98.3	98.9	246	294	
competent	97.1	98.7	257	334	
competentie	98.2	98.9	236	296	
competitie	100.0	99.0	270	306	
competitief	97.9	90.2	255	334	
compilatie	96.7	96.0	256	344	
compilator	84.7	82.7	241	310	
compiler	48.3	48.0	269	336	
compileren	88.4	88.9	264	303	
compleet	98.5	98.9	284	299	
complement	83.1	78.5	249	308	
complementair	99.1	97.9	245	346	
complet	34.3	37.8	266	340	
completen	46.2	41.3	276	330	
completeren	78.3	91.6	247	313	
complex	98.3	98.7	244	331	
complexiteit	98.0	97.4	262	322	
complicatie	98.6	100.0	232	334	
complice	31.0	32.2	241	301	
compliceren	94.1	97.6	284	310	
compliment	99.1	99.7	228	356	
complimenteren	96.3	99.0	254	317	
complimenteus	79.4	96.3	245	314	
complot	99.6	99.4	258	339	
component	98.1	98.7	226	315	
componeren	98.8	100.0	263	343	
componist	98.9	99.0	275	325	
composer	63.9	72.7	236	289	
composiet	86.8	87.9	231	321	
compositie	99.1	99.7	243	313	
compositorisch	82.7	78.4	237	282	
compost	97.9	98.6	251	294	
composteren	98.8	93.8	265	289	
compote	84.7	91.8	262	321	
compressie	98.7	98.3	236	317	
compressor	98.6	97.7	230	314	
comprimé	71.7	58.5	264	327	
comprimeren	96.2	99.0	249	305	
compromis	98.3	99.4	242	344	
compromitteren	89.9	89.9	261	333	
compromitterend	90.5	91.2	254	324	
comptabel	47.6	43.8	237	307	
compulsief	88.0	83.0	237	347	
computer	99.2	99.3	264	319	
computers	98.8	98.4	267	326	
computerscherm	100.0	99.1	250	339	
computerspel	99.2	98.6	270	302	
computervirus	98.4	99.3	271	297	
comtoise	18.6	22.9	234	258	
concaaf	51.1	43.7	243	346	
concentraat	97.9	98.5	253	290	
concentratie	98.1	99.3	221	315	
concentratiekamp	98.8	99.7	258	310	
concentreren	100.0	99.7	267	307	
concentrisch	88.3	80.5	216	313	
concept	98.4	99.7	261	307	
conceptie	99.1	98.7	228	324	
conceptueel	98.4	96.3	261	315	
concern	86.6	94.1	227	341	
concert	99.2	100.0	268	317	
concertant	65.8	53.4	286	314	
concerteren	76.7	58.2	239	302	
concerto	86.0	65.0	233	316	
concessie	96.7	97.4	257	322	
concessionaris	71.9	51.2	251	317	
conciërge	98.8	98.6	254	307	
conciliatie	74.2	70.5	224	289	
concilie	91.1	75.9	260	337	
concipiëren	88.5	76.0	237	307	
conclaaf	96.3	96.3	257	311	
conclave	75.4	80.0	214	289	
concluderen	99.2	98.7	251	317	
conclusie	99.1	98.3	244	317	
concordaat	84.3	61.6	221	315	
concordantie	80.9	57.1	286	314	
concordia	77.7	90.2	255	313	
concours	94.3	97.7	259	321	
concreet	98.4	99.0	262	321	
concretiseren	94.5	96.1	250	323	
concubinaat	78.0	67.9	239	315	
concubine	82.0	80.0	245	353	
concurrent	99.1	99.7	231	321	
concurrentie	98.3	99.3	245	301	
concurrentieel	94.1	52.4	249	305	
concurreren	96.8	95.0	230	297	
condens	96.2	99.0	252	329	
condensatie	97.9	95.3	253	315	
condensator	94.7	93.9	239	329	
condenseren	98.5	99.3	214	317	
condensor	82.7	82.9	249	308	
conditie	99.2	99.7	249	350	
conditioneel	98.3	99.3	246	318	
conditioner	96.4	95.8	262	324	
conditioneren	99.2	98.6	249	307	
condoleance	82.0	97.1	222	291	
condoleantie	76.5	82.8	251	324	
condoleren	98.0	99.1	267	333	
condoom	98.6	99.4	219	365	
condor	76.8	84.7	236	303	
conducteur	99.2	100.0	266	305	
conductor	84.7	75.6	262	323	
conductrice	88.7	98.4	242	324	
conduite	47.6	60.0	269	329	
confabuleren	37.5	33.0	32	33	
confectie	97.8	97.0	236	319	
confederaal	96.6	89.0	251	315	
confederatie	97.7	95.0	225	356	
conference	88.6	93.8	258	290	
conferencier	77.8	85.0	251	315	
conferentie	98.1	98.6	270	297	
confereren	84.5	85.4	231	340	
confessie	90.4	94.8	264	302	
confessioneel	90.3	94.4	249	360	
confetti	98.0	97.0	266	319	
confidentieel	97.2	96.3	224	365	
configuratie	98.3	100.0	247	361	
configureren	98.0	98.7	262	323	
confirmeren	96.9	85.1	274	338	
confiscatie	89.1	97.1	29	36	
confiserie	69.9	30.7	28	38	
confiseur	52.3	50.7	236	318	
confisqueren	85.2	91.8	264	332	
confiteor	18.7	13.7	277	305	
confiture	75.7	96.1	26	27	
confituur	99.6	94.2	261	274	
conflict	99.2	99.7	263	316	
confluent	70.9	48.2	239	313	
conform	94.8	96.4	241	295	
conformeren	86.7	95.6	237	314	
conformisme	94.2	91.4	237	282	
conformist	97.3	94.6	269	329	
conformistisch	91.1	91.6	271	313	
confrater	90.0	63.9	296	306	
confrère	63.5	82.0	268	310	
confrérie	48.6	49.3	260	330	
confrontatie	98.6	99.3	231	309	
confronteren	99.2	99.7	274	319	
confuciaans	77.4	77.9	284	310	
confusie	86.6	87.9	274	304	
confuus	86.2	93.5	244	309	
conga	58.0	53.5	233	346	
congé	84.8	69.6	277	336	
congeniaal	72.8	69.2	240	321	
congenitaal	78.5	63.8	250	317	
congestie	80.2	83.7	239	335	
conglomeraat	80.7	80.7	251	322	
congregatie	95.3	92.7	248	330	
congres	98.8	98.0	262	323	
congreslid	97.4	99.0	242	314	
congruent	81.9	77.4	239	298	
congruentie	88.6	79.9	258	330	
conifeer	82.9	93.2	264	295	
conisch	72.9	73.2	256	314	
conjugaal	83.3	50.6	265	337	
conjugatie	83.9	64.2	236	338	
conjunct	85.2	85.9	242	314	
conjunctie	94.0	88.8	247	319	
conjunctivitis	63.9	38.6	35	36	
conjunctureel	85.5	88.9	254	333	
conjunctuur	95.0	93.7	252	332	
connaisseur	72.2	83.2	250	332	
connectie	97.9	99.4	256	341	
connector	93.6	94.7	231	340	
connotatie	85.0	68.2	239	281	
conopeum	15.7	14.7	251	317	
conrector	32.7	98.1	247	327	
consacreren	82.9	48.5	222	284	
consciëntieus	88.0	86.8	220	367	
consecratie	78.1	55.1	231	363	
consecutief	69.9	47.2	266	309	
consensus	93.8	92.8	221	321	
consent	53.8	63.5	262	323	
consequent	97.3	97.7	235	319	
consequentie	97.1	97.7	257	314	
conservatief	99.2	98.3	250	317	
conservatisme	97.1	96.7	221	323	
conservator	98.1	99.3	222	309	
conservatorium	98.8	99.3	259	299	
conservatrice	84.8	81.4	221	317	
conserven	95.2	94.4	240	322	
conservenblik	95.8	95.9	228	285	
conserveren	98.0	98.9	264	373	
considerabel	85.1	85.9	268	307	
consideratie	95.6	95.8	237	304	
consignatie	85.6	86.9	242	321	
consigne	76.2	76.7	252	294	
consistent	95.0	97.1	271	324	
consistentie	97.5	96.3	248	286	
consistorie	50.0	57.4	265	316	
console	98.8	95.3	265	316	
consolidatie	97.2	94.6	261	291	
consolideren	95.7	95.7	218	319	
consommé	80.6	70.3	244	287	
consonant	76.7	66.1	244	307	
consorten	56.2	90.7	238	341	
consortia	78.9	77.9	240	329	
consortium	86.3	88.4	231	363	
conspiratie	73.0	78.2	253	290	
constant	98.3	98.6	249	308	
constante	98.6	99.0	221	321	
constatatie	93.4	29.9	241	293	
constateren	97.7	99.1	225	356	
constatering	93.5	98.3	258	314	
constellatie	94.2	89.6	254	314	
consternatie	90.5	93.8	243	321	
constipatie	96.6	96.8	249	360	
constituent	64.3	55.6	239	325	
constitutie	99.1	98.3	233	316	
constitutief	74.7	70.3	258	298	
constitutioneel	98.3	97.0	245	315	
construct	78.0	74.1	249	341	
constructeur	98.5	97.0	277	319	
constructie	99.2	99.4	248	325	
constructief	98.7	98.8	242	343	
construeren	99.2	99.3	259	304	
consul	95.0	90.3	251	325	
consulaat	97.9	98.7	251	329	
consulair	75.4	84.0	274	303	
consulent	97.3	97.4	235	327	
consult	89.5	99.0	250	331	
consultant	98.0	97.7	263	316	
consultatie	98.0	97.5	264	341	
consulteren	98.8	97.3	254	317	
consument	97.0	99.4	248	351	
consumeren	98.7	99.0	252	318	
consummatie	75.4	36.1	240	303	
consumptie	98.3	98.2	241	297	
contact	100.0	100.0	231	321	
contacten	99.5	99.6	233	287	
contacteren	99.6	93.1	255	334	
contactlens	100.0	99.3	262	288	
contactueel	54.6	91.6	271	337	
container	99.2	98.6	262	293	
contaminatie	97.3	94.4	235	319	
contamineren	95.3	90.7	247	294	
contant	97.2	98.9	266	297	
contanten	96.4	98.6	261	309	
conté	32.2	48.8	250	300	
contemplatie	78.9	80.4	264	328	
contemplatief	72.7	68.5	243	328	
contemporain	56.1	59.3	240	277	
content	96.1	98.3	240	318	
contentieus	68.8	67.4	253	333	
contest	79.4	89.9	256	313	
contesteren	92.8	54.0	248	286	
context	97.9	98.4	251	319	
contextueel	93.3	95.6	252	314	
contigu	29.0	12.6	252	294	
continent	98.4	98.9	263	283	
continentaal	97.3	98.3	270	302	
contingent	78.0	83.3	268	328	
contingentie	79.0	76.9	256	324	
continu	97.7	94.1	274	303	
continue	82.9	93.9	222	291	
continueren	93.1	98.3	260	311	
continuïteit	96.7	99.3	255	292	
continuo	51.3	31.6	270	303	
continuüm	82.3	79.9	274	341	
conto	70.4	82.5	235	336	
contour	96.5	97.5	272	289	
contourlijn	93.6	92.9	230	297	
contra	98.4	97.1	269	294	
contrabande	58.5	69.2	264	321	
contrabas	98.0	96.9	257	344	
contraceptie	95.4	81.9	254	331	
contract	99.6	99.0	277	305	
contractant	81.2	90.6	252	314	
contracteren	83.3	97.8	240	290	
contractie	99.1	94.7	242	340	
contractueel	98.3	98.8	249	360	
contradictie	96.3	96.1	258	352	
contrair	80.6	77.3	250	343	
contramal	40.3	38.8	185	282	
contramine	63.3	87.9	241	321	
contraproductief	100.0	85.5	26	29	
contrapunt	86.8	86.6	263	323	
contrarie	55.4	45.0	243	337	
contrast	98.7	99.0	242	322	
contrasteren	98.1	93.0	227	318	
contratenor	62.2	36.8	39	35	
contrecoeur	47.4	47.4	20	44	
contreien	89.4	89.5	269	311	
contribueren	87.5	78.8	269	358	
contributie	94.5	98.1	267	334	
controle	98.7	99.1	249	360	
controlepost	100.0	98.8	233	346	
controlepunt	98.4	99.0	257	322	
controleren	99.6	99.7	286	331	
controleur	98.3	98.9	244	287	
controverse	97.8	96.0	236	318	
controversieel	96.5	97.7	270	314	
conus	42.5	56.1	236	319	
convectie	89.0	82.7	259	316	
convector	96.9	86.7	237	301	
convenabel	83.5	38.0	261	309	
convenant	86.4	94.1	264	341	
conveniëren	68.5	78.1	274	303	
convent	88.4	88.7	281	318	
conventie	98.4	96.5	267	334	
conventioneel	98.7	99.3	247	306	
convergent	89.3	83.3	265	322	
convergentie	92.0	85.2	238	349	
convergeren	92.2	87.4	229	360	
convers	59.8	66.6	259	331	
conversatie	99.6	99.0	238	319	
converseren	97.8	99.4	239	325	
conversie	97.8	97.8	284	281	
converteren	97.8	98.3	240	303	
convertible	66.7	69.6	237	301	
convertor	81.3	64.2	264	332	
convex	77.2	61.9	286	315	
convictie	82.3	86.2	261	297	
convocaat	39.5	38.8	254	320	
convocatie	78.6	64.2	241	332	
convoluut	21.8	16.2	237	289	
convulsie	73.9	62.2	302	315	
convulsief	64.6	55.9	226	315	
cooker	48.0	70.4	259	320	
cookie	89.1	93.6	250	314	
cool	95.1	96.4	256	290	
coöperant	93.8	71.3	237	282	
coöperatie	96.0	96.5	239	298	
coöperatief	98.3	98.4	252	329	
coöptatie	79.0	42.7	261	294	
coöpteren	84.0	66.7	277	319	
coördinaat	96.8	98.4	265	322	
coördinatie	98.8	99.4	258	333	
coördinator	98.0	98.4	268	324	
coördinatrice	92.0	88.0	250	343	
coördineren	97.7	99.0	271	313	
copieus	89.8	78.9	238	329	
copiloot	94.1	94.2	267	327	
coping	43.1	47.4	296	306	
coproductie	94.3	91.3	238	373	
coprofagie	20.1	32.8	29	47	
copulatie	84.1	86.0	245	286	
copuleren	91.9	90.5	233	309	
copyright	97.2	96.3	223	338	
copyshop	86.8	89.8	256	331	
copywriter	96.9	96.7	274	317	
coquille	80.5	83.3	243	347	
cordiaal	74.1	71.5	236	303	
cordiet	23.3	28.6	236	283	
cordon	90.2	82.5	257	331	
corduroy	41.6	82.8	290	282	
corgi	23.9	21.1	249	291	
cornea	53.7	29.0	25	43	
corner	81.8	83.9	243	321	
cornerbal	76.2	77.6	270	320	
cornet	72.2	78.9	235	335	
cornflakes	97.2	97.9	262	344	
corniche	68.8	48.3	260	330	
corollarium	43.0	22.4	24	38	
corona	80.8	82.8	214	312	
coronaal	65.5	48.1	256	341	
coronair	63.1	51.4	277	327	
corporale	74.2	85.0	220	308	
corporatie	91.9	93.4	274	304	
corporatisme	87.4	80.9	260	331	
corporeel	57.3	44.9	266	298	
corps	76.4	96.3	263	343	
corpsbal	53.1	93.5	220	308	
corpulent	96.6	93.0	245	315	
corpus	91.2	92.1	252	332	
correct	99.1	99.3	238	315	
correctie	99.2	99.7	272	310	
corrector	93.5	95.1	226	341	
correlaat	71.7	60.4	249	319	
correlatie	87.6	93.7	255	334	
correleren	80.1	80.4	270	306	
correspondent	99.2	98.3	260	310	
correspondentie	97.6	98.4	259	330	
corresponderen	98.8	98.1	268	333	
corridor	87.4	91.5	234	323	
corrigeren	98.7	98.7	239	321	
corrosie	87.4	90.8	226	343	
corrosief	80.3	71.2	235	318	
corrumperen	71.3	80.3	253	299	
corrupt	97.8	99.0	235	304	
corruptie	98.6	99.0	224	332	
corsage	86.1	95.2	220	308	
corselet	27.2	68.8	263	283	
corso	60.3	88.4	257	345	
cortège	49.3	48.4	251	294	
cortex	87.9	89.7	208	318	
corticaal	71.7	50.3	231	322	
cortison	50.9	79.6	236	331	
cortisone	95.2	77.7	242	344	
corvee	90.3	96.9	229	302	
corveeën	75.9	89.7	227	318	
corveeër	52.7	86.1	245	302	
coryfee	76.9	80.8	273	323	
coryfeeën	79.5	83.5	221	331	
coschap	24.9	78.0	276	325	
cosinus	89.1	80.9	251	342	
cosmetica	99.6	97.6	254	308	
cosmetisch	93.3	98.4	269	325	
cosponsor	72.2	59.3	269	336	
cotangens	68.2	44.9	238	296	
coterie	30.7	43.4	246	320	
cothurne	4.0	3.0	228	294	
cotillon	35.7	28.3	267	307	
cottage	89.8	80.0	258	310	
couche	50.8	43.6	261	297	
couchette	59.2	71.7	240	335	
couchsurfen	85.0	85.6	35	44	
coulance	28.8	90.7	244	317	
coulant	64.3	96.4	268	323	
coulis	91.3	71.8	267	340	
coulisse	87.0	89.7	211	318	
coulissen	96.0	96.0	265	316	
couloir	64.3	37.8	242	313	
coulomb	34.5	25.8	241	332	
counselen	69.1	86.2	249	350	
counseling	68.6	87.8	245	302	
counselor	58.1	79.5	241	308	
countdown	87.7	91.6	232	302	
counter	89.8	94.2	259	311	
counteren	95.7	91.4	243	318	
countertenor	42.7	60.0	259	295	
country	81.9	82.1	227	341	
county	45.4	54.2	241	301	
coup	80.2	91.0	234	317	
coupe	92.7	97.8	261	288	
coupé	95.7	97.6	242	309	
coupédeur	48.9	77.7	241	311	
couperen	92.3	94.8	245	301	
couperose	57.2	59.2	236	289	
coupeur	72.3	89.7	236	327	
coupeuse	71.2	88.2	256	313	
couplet	92.9	97.9	266	305	
coupon	97.6	97.5	265	343	
coupure	90.4	83.0	252	328	
cour	37.6	41.2	238	344	
courage	89.4	82.6	238	314	
courant	95.3	95.5	271	324	
coureur	91.3	96.7	241	321	
courgette	98.1	98.6	227	310	
courtage	57.1	87.1	243	309	
courtisane	82.8	78.2	263	300	
couscous	97.2	96.3	263	283	
couture	90.5	89.8	256	279	
couturier	88.2	84.5	249	319	
couvade	15.7	12.7	246	317	
couvert	87.6	96.2	246	304	
couverture	85.1	74.7	233	316	
couveuse	97.0	98.3	245	302	
cover	93.9	94.1	226	341	
coverage	57.9	56.5	220	293	
coverband	95.7	85.6	242	344	
coveren	83.4	74.3	247	336	
covergirl	93.5	94.9	242	310	
cowboy	98.0	98.7	263	317	
cowboyfilm	97.1	97.5	251	342	
cowboyhoed	98.2	98.6	237	304	
cowgirl	89.3	88.3	237	289	
cox	27.7	37.8	227	318	
coyote	93.0	89.7	256	327	
crack	92.9	93.8	221	321	
cracker	91.1	96.3	260	317	
cranberry	71.1	91.2	233	336	
craniaal	49.7	43.8	253	309	
crank	14.4	31.4	235	327	
crapaud	15.9	26.0	273	343	
crapaudje	18.4	32.7	258	316	
crapuul	90.1	45.3	235	304	
craquelé	68.0	76.5	286	331	
crash	98.8	98.1	260	330	
crashen	97.1	97.8	250	339	
cravate	60.3	44.7	276	278	
crawl	92.7	83.6	259	321	
crawlen	83.5	84.7	236	303	
crayon	58.1	62.7	269	313	
crazy	77.8	74.2	256	339	
creatie	99.1	99.3	231	321	
creatief	98.8	99.0	270	306	
creatine	70.3	71.8	266	340	
creationisme	86.7	72.4	246	317	
creativiteit	99.2	99.3	253	299	
creatuur	94.6	92.6	236	327	
crèche	95.6	99.0	263	301	
credit	95.7	96.9	222	310	
creditcard	96.4	98.2	235	289	
crediteren	96.3	97.0	226	319	
crediteur	93.9	97.8	257	286	
creditkaart	84.1	91.9	265	298	
credo	86.1	91.8	219	347	
